tahun,produksi_mbbl,harga_minyak_usd,capital_usd,non_capital_usd,opex_usd
0,0,32,13000,8000,
1,175,32,0,0,180
2,201,32,0,0,180
3,217,32,0,0,180
4,198,32,0,0,185
5,192.06,32,0,0,189
6,186.29,32,0,0,194
7,180.7013,32,0,0,199
8,175.280261,32,0,0,204
9,170.0218532,32,0,0,209
10,164.9211976,32,0,0,214
11,159.9735616,32,0,0,219
12,155.1743548,32,0,0,225
13,150.5191242,32,0,0,230
14,146.0035504,32,0,0,236
15,141.6234439,32,0,0,242
16,137.3747406,32,0,0,248
17,133.2534984,32,0,0,254
18,129.2558934,32,0,0,261
19,125.3782166,32,0,0,267
20,121.6168701,32,0,0,274
